college_name,location,domain,specialization,course,fee,relevant_exam,min_marks,type,accreditation,scholarship,facilities,link
IIT Madras - Indian Institute of Technology - [IITM],"Chennai, Tamil Nadu",Engineering and Technology,Computer Science Engineering,B.Tech,24200.00,JEE-Advanced,159.00,Government,NAAC,Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://study.iitm.ac.in/es/admissions.html
IIT Madras - Indian Institute of Technology - [IITM],"Chennai, Tamil Nadu",Engineering and Technology,Mechanical Engineering,B.Tech,24200.00,JEE-Advanced,2302.00,Government,NAAC,Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://study.iitm.ac.in/es/admissions.html
IIT Madras - Indian Institute of Technology - [IITM],"Chennai, Tamil Nadu",Engineering and Technology,Electrical Engineering,B.Tech,24200.00,JEE-Advanced,835.00,Government,NAAC,Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://study.iitm.ac.in/es/admissions.html
IIT Madras - Indian Institute of Technology - [IITM],"Chennai, Tamil Nadu",Engineering and Technology,Civil Engineering,B.Tech,24200.00,JEE-Advanced,5516.00,Government,NAAC,Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://study.iitm.ac.in/es/admissions.html
IIT Delhi - Indian Institute of Technology [IITD],"New Delhi, Delhi NCR",Engineering and Technology,Computer Science and Engineering,B.Tech,228650.00,JEE-Advanced,116.00,Government,NAAC,Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://jeeadv.iitd.ac.in/
IIT Delhi - Indian Institute of Technology [IITD],"New Delhi, Delhi NCR",Engineering and Technology,Mechanical Engineering,B.Tech,228650.00,JEE-Advanced,1774.00,Government,NAAC,Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://jeeadv.iitd.ac.in/
IIT Delhi - Indian Institute of Technology [IITD],"New Delhi, Delhi NCR",Engineering and Technology,Civil Engineering,B.Tech,228650.00,JEE-Advanced,4108.00,Government,NAAC,Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://jeeadv.iitd.ac.in/
IIT Delhi - Indian Institute of Technology [IITD],"New Delhi, Delhi NCR",Engineering and Technology,Electrical Engineering,B.Tech,228650.00,JEE-Advanced,622.00,Government,NAAC,Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://jeeadv.iitd.ac.in/
IIT Bombay - Indian Institute of Technology - [IITB],"Mumbai, Maharashtra",Engineering and Technology,Computer Science and Engineering,B.Tech,230700.00,JEE-Advanced,68.00,Government,"AICTE, UGC Approved",Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.iitb.ac.in/newacadhome/btech.jsp
IIT Bombay - Indian Institute of Technology - [IITB],"Mumbai, Maharashtra",Engineering and Technology,Mechanical Engineering,B.Tech,230700.00,JEE-Advanced,1685.00,Government,"AICTE, UGC Approved",Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.iitb.ac.in/newacadhome/btech.jsp
IIT Bombay - Indian Institute of Technology - [IITB],"Mumbai, Maharashtra",Engineering and Technology,Electrical Engineering,B.Tech,230700.00,JEE-Advanced,464.00,Government,"AICTE, UGC Approved",Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.iitb.ac.in/newacadhome/btech.jsp
IIT Bombay - Indian Institute of Technology - [IITB],"Mumbai, Maharashtra",Engineering and Technology,Civil Engineering,B.Tech,230700.00,JEE-Advanced,3986.00,Government,"AICTE, UGC Approved",Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.iitb.ac.in/newacadhome/btech.jsp
IIT Kharagpur - Indian Institute of Technology - [IITKGP],"Kharagpur, West Bengal",Engineering and Technology,Computer Science and Engineering,B.Tech,223600.00,JEE-Advanced,414.00,Government,ABET,Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.iitkgp.ac.in/navpage/admissions
IIT Kharagpur - Indian Institute of Technology - [IITKGP],"Kharagpur, West Bengal",Engineering and Technology,Electrical Engineering,B.Tech,223600.00,JEE-Advanced,1880.00,Government,ABET,Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.iitkgp.ac.in/navpage/admissions
IIT Kharagpur - Indian Institute of Technology - [IITKGP],"Kharagpur, West Bengal",Engineering and Technology,Mechanical Engineering,B.Tech,223600.00,JEE-Advanced,3301.00,Government,ABET,Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.iitkgp.ac.in/navpage/admissions
IIT Kharagpur - Indian Institute of Technology - [IITKGP],"Kharagpur, West Bengal",Engineering and Technology,Civil Engineering,B.Tech,223600.00,JEE-Advanced,6465.00,Government,ABET,Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.iitkgp.ac.in/navpage/admissions
IIT Kharagpur - Indian Institute of Technology - [IITKGP],"Kharagpur, West Bengal",Engineering and Technology,Electronics and Electrical Communication Engineering,B.Tech,223600.00,JEE-Advanced,NA,Government,ABET,Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.iitkgp.ac.in/navpage/admissions
IIT Kanpur - Indian Institute of Technology - [IITK],"Kanpur, Uttar Pradesh",Engineering and Technology,Computer Science and Engineering,B.Tech,229970.00,JEE-Advanced,248.00,Government,"NBA , UGC , MoE",Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.iitk.ac.in/admission/
IIT Kanpur - Indian Institute of Technology - [IITK],"Kanpur, Uttar Pradesh",Engineering and Technology,Electrical Engineering,B.Tech,229970.00,JEE-Advanced,1257.00,Government,"NBA , UGC , MoE",Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.iitk.ac.in/admission/
IIT Kanpur - Indian Institute of Technology - [IITK],"Kanpur, Uttar Pradesh",Engineering and Technology,Civil Engineering,B.Tech,229970.00,JEE-Advanced,5676.00,Government,"NBA , UGC , MoE",Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.iitk.ac.in/admission/
IIT Kanpur - Indian Institute of Technology - [IITK],"Kanpur, Uttar Pradesh",Engineering and Technology,Mechanical Engineering,B.Tech,229970.00,JEE-Advanced,2736.00,Government,"NBA , UGC , MoE",Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.iitk.ac.in/admission/
IIT Roorkee - Indian Institute of Technology - [IITR],"Roorkee, Uttarakhand",Engineering and Technology,Civil Engineering,B.Tech,230100.00,JEE-Advanced,6134.00,Government,"NBA , UGC , MoE",Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.iitr.ac.in/admissions/
IIT Roorkee - Indian Institute of Technology - [IITR],"Roorkee, Uttarakhand",Engineering and Technology,Electrical Engineering,B.Tech,230100.00,JEE-Advanced,1976.00,Government,"NBA , UGC",Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.iitr.ac.in/admissions/
IIT Roorkee - Indian Institute of Technology - [IITR],"Roorkee, Uttarakhand",Engineering and Technology,Mechanical Engineering,B.Tech,230100.00,JEE-Advanced,3437.00,Government,"NBA , UGC",Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.iitr.ac.in/admissions/
IIT Roorkee - Indian Institute of Technology - [IITR],"Roorkee, Uttarakhand",Engineering and Technology,Computer Science and Engineering,B.Tech,230100.00,JEE-Advanced,481.00,Government,"NBA , UGC",Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.iitr.ac.in/admissions/
IIT Guwahati - Indian Institute of Technology,"Guwahati, Assam",Engineering and Technology,Computer Science and Engineering,B.Tech,288250.00,JEE Advanced,607.00,Government,"AICTE, UGC",Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://iitg.ac.in/acad/admission/#
IIT Guwahati - Indian Institute of Technology,"Guwahati, Assam",Engineering and Technology,Civil Engineering,B.Tech,288250.00,JEE Advanced,7112.00,Government,"AICTE, UGC",Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://iitg.ac.in/acad/admission/#
IIT Guwahati - Indian Institute of Technology,"Guwahati, Assam",Engineering and Technology,Mechanical Engineering,B.Tech,288250.00,JEE Advanced,4185.00,Government,"AICTE, UGC",Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://iitg.ac.in/acad/admission/#
BITS Pilani,"Pilani, Rajasthan",Engineering and Technology,Computer Science,B.Tech,603775.00,BITSAT,327.00,Private,NAAC Grade A,Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.bits-pilani.ac.in/admissions/
BITS Pilani,"Pilani, Rajasthan",Engineering and Technology,Mechanical Engineering,B.Tech,603725.00,BITSAT,266.00,Private,NAAC Grade A,Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.bits-pilani.ac.in/admissions/
BITS Pilani,"Pilani, Rajasthan",Engineering and Technology,Civil Engineering,B.Tech,603775.00,BITSAT,238.00,Private,NAAC Grade A,Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://www.bits-pilani.ac.in/admissions/
IIT Banaras Hindu University (BHU) - Indian Institute of Technology,"Varanasi, Uttar Pradesh",Engineering and Technology,Computer Science and Engineering,B.Tech,228315.00,JEE-Advanced,1015.00,Government,UGC,Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://iitbhu.ac.in/
IIT Banaras Hindu University (BHU) - Indian Institute of Technology,"Varanasi, Uttar Pradesh",Engineering and Technology,Electronics Engineering,B.Tech,228315.00,JEE-Advanced,2660.00,Government,UGC,Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://iitbhu.ac.in/
IIT Banaras Hindu University (BHU) - Indian Institute of Technology,"Varanasi, Uttar Pradesh",Engineering and Technology,Mechanical Engineering,B.Tech,228315.00,JEE-Advanced,6008.00,Government,UGC,Yes,"Research Facilities,Library,Hostel Facilities,Financial Support,Health Services,Cultural and Extracurricular Activities",https://iitbhu.ac.in/
